stage,n_total_epithelial,n_annotated_airway,n_annotated_alveolar,n_candidate_pool_total,n_candidate_bipotent_relaxed,n_transitioning_airway_relaxed,n_transitioning_alveolar_relaxed,n_undefined_relaxed,n_candidate_bipotent_moderate,n_transitioning_airway_moderate,n_transitioning_alveolar_moderate,n_undefined_moderate,n_candidate_bipotent_stringent,n_transitioning_airway_stringent,n_transitioning_alveolar_stringent,n_undefined_stringent,frac_total_annotated_airway,frac_total_annotated_alveolar,frac_total_candidate_pool_total,frac_total_candidate_bipotent_relaxed,frac_total_transitioning_airway_relaxed,frac_total_transitioning_alveolar_relaxed,frac_total_undefined_relaxed,frac_total_candidate_bipotent_moderate,frac_total_transitioning_airway_moderate,frac_total_transitioning_alveolar_moderate,frac_total_undefined_moderate,frac_total_candidate_bipotent_stringent,frac_total_transitioning_airway_stringent,frac_total_transitioning_alveolar_stringent,frac_total_undefined_stringent,frac_pool_candidate_bipotent_relaxed,frac_pool_transitioning_airway_relaxed,frac_pool_transitioning_alveolar_relaxed,frac_pool_undefined_relaxed,frac_pool_candidate_bipotent_moderate,frac_pool_transitioning_airway_moderate,frac_pool_transitioning_alveolar_moderate,frac_pool_undefined_moderate,frac_pool_candidate_bipotent_stringent,frac_pool_transitioning_airway_stringent,frac_pool_transitioning_alveolar_stringent,frac_pool_undefined_stringent
12th week post-fertilization stage,2706,18,0,2688,12,121,410,2145,12,121,410,2145,12,121,410,2145,0.0066518847006651885,0.0,0.9933481152993349,0.004434589800443459,0.044715447154471545,0.15151515151515152,0.7926829268292683,0.004434589800443459,0.044715447154471545,0.15151515151515152,0.7926829268292683,0.004434589800443459,0.044715447154471545,0.15151515151515152,0.7926829268292683,0.004464285714285714,0.04501488095238095,0.15252976190476192,0.7979910714285714,0.004464285714285714,0.04501488095238095,0.15252976190476192,0.7979910714285714,0.004464285714285714,0.04501488095238095,0.15252976190476192,0.7979910714285714
13th week post-fertilization stage,706,18,0,688,5,43,96,544,5,43,96,544,5,43,96,544,0.025495750708215296,0.0,0.9745042492917847,0.007082152974504249,0.060906515580736544,0.1359773371104816,0.7705382436260623,0.007082152974504249,0.060906515580736544,0.1359773371104816,0.7705382436260623,0.007082152974504249,0.060906515580736544,0.1359773371104816,0.7705382436260623,0.007267441860465116,0.0625,0.13953488372093023,0.7906976744186046,0.007267441860465116,0.0625,0.13953488372093023,0.7906976744186046,0.007267441860465116,0.0625,0.13953488372093023,0.7906976744186046
15th week post-fertilization stage,8171,261,0,7910,33,229,1071,6577,33,229,1071,6577,33,229,1071,6577,0.03194223473259087,0.0,0.9680577652674092,0.004038673356994248,0.02802594541671766,0.1310733080406315,0.8049198384530657,0.004038673356994248,0.02802594541671766,0.1310733080406315,0.8049198384530657,0.004038673356994248,0.02802594541671766,0.1310733080406315,0.8049198384530657,0.004171934260429835,0.02895069532237674,0.13539823008849558,0.8314791403286979,0.004171934260429835,0.02895069532237674,0.13539823008849558,0.8314791403286979,0.004171934260429835,0.02895069532237674,0.13539823008849558,0.8314791403286979
16th week post-fertilization stage,3495,102,0,3393,20,138,397,2838,20,138,397,2838,20,138,397,2838,0.029184549356223177,0.0,0.9708154506437768,0.005722460658082976,0.039484978540772535,0.11359084406294706,0.8120171673819743,0.005722460658082976,0.039484978540772535,0.11359084406294706,0.8120171673819743,0.005722460658082976,0.039484978540772535,0.11359084406294706,0.8120171673819743,0.0058944886531093425,0.040671971706454466,0.11700559976422045,0.8364279398762158,0.0058944886531093425,0.040671971706454466,0.11700559976422045,0.8364279398762158,0.0058944886531093425,0.040671971706454466,0.11700559976422045,0.8364279398762158
17th week post-fertilization stage,10460,330,0,10130,25,216,1067,8822,25,216,1067,8822,25,216,1067,8822,0.03154875717017208,0.0,0.9684512428298279,0.002390057361376673,0.020650095602294454,0.1020076481835564,0.8434034416826004,0.002390057361376673,0.020650095602294454,0.1020076481835564,0.8434034416826004,0.002390057361376673,0.020650095602294454,0.1020076481835564,0.8434034416826004,0.0024679170779861796,0.021322803553800593,0.10533070088845015,0.8708785784797631,0.0024679170779861796,0.021322803553800593,0.10533070088845015,0.8708785784797631,0.0024679170779861796,0.021322803553800593,0.10533070088845015,0.8708785784797631
