dataset_id,development_stage,n_cells
e8a11a27-9c47-4673-b65d-11b9cd6065e1,9th week post-fertilization stage,2045
e8a11a27-9c47-4673-b65d-11b9cd6065e1,15th week post-fertilization stage,1729
e8a11a27-9c47-4673-b65d-11b9cd6065e1,18th week post-fertilization stage,1570
e8a11a27-9c47-4673-b65d-11b9cd6065e1,22nd week post-fertilization stage,656
e8a11a27-9c47-4673-b65d-11b9cd6065e1,20th week post-fertilization stage,175
f7c1c579-2dc0-47e2-ba19-8165c5a0e353,17th week post-fertilization stage,75751
f7c1c579-2dc0-47e2-ba19-8165c5a0e353,15th week post-fertilization stage,57847
f7c1c579-2dc0-47e2-ba19-8165c5a0e353,16th week post-fertilization stage,40482
f7c1c579-2dc0-47e2-ba19-8165c5a0e353,12th week post-fertilization stage,33553
f7c1c579-2dc0-47e2-ba19-8165c5a0e353,13th week post-fertilization stage,10105
f9846bb4-784d-4582-92c1-3f279e4c6f0c,11th week post-fertilization stage,6644
f9846bb4-784d-4582-92c1-3f279e4c6f0c,18th week post-fertilization stage,6120
f9846bb4-784d-4582-92c1-3f279e4c6f0c,15th week post-fertilization stage,6099
f9846bb4-784d-4582-92c1-3f279e4c6f0c,9th week post-fertilization stage,5935
f9846bb4-784d-4582-92c1-3f279e4c6f0c,22nd week post-fertilization stage,5650
f9846bb4-784d-4582-92c1-3f279e4c6f0c,20th week post-fertilization stage,1572
fa27492b-82ff-4ab7-ac61-0e2b184eee67,17th week post-fertilization stage,18482
fa27492b-82ff-4ab7-ac61-0e2b184eee67,15th week post-fertilization stage,14320
fa27492b-82ff-4ab7-ac61-0e2b184eee67,16th week post-fertilization stage,9876
fa27492b-82ff-4ab7-ac61-0e2b184eee67,12th week post-fertilization stage,8224
fa27492b-82ff-4ab7-ac61-0e2b184eee67,13th week post-fertilization stage,2527
fcadb222-82e2-43eb-a3ab-6af0a22051fe,21st week post-fertilization stage,28180
fcadb222-82e2-43eb-a3ab-6af0a22051fe,13th week post-fertilization stage,21455
fcadb222-82e2-43eb-a3ab-6af0a22051fe,10th week post-fertilization stage,11433
fcadb222-82e2-43eb-a3ab-6af0a22051fe,20th week post-fertilization stage,4319
fcadb222-82e2-43eb-a3ab-6af0a22051fe,18th week post-fertilization stage,4195
fcadb222-82e2-43eb-a3ab-6af0a22051fe,22nd week post-fertilization stage,3863
fcadb222-82e2-43eb-a3ab-6af0a22051fe,15th week post-fertilization stage,2909
fcadb222-82e2-43eb-a3ab-6af0a22051fe,9th week post-fertilization stage,797
fcadb222-82e2-43eb-a3ab-6af0a22051fe,11th week post-fertilization stage,345
