stage,direction,rank,gene,log_fold_change,adjusted_p_value,gene_class,interpretable,recurrence_n_stages
18th week post-fertilization stage,airway_top,13,PERP,1.950992226600647,3.9692584667884987e-104,biological,True,2
18th week post-fertilization stage,airway_top,14,CAPS,5.576028823852539,1.2099133484585234e-96,biological,True,4
18th week post-fertilization stage,airway_top,15,ODF2L,2.349888563156128,6.195955580811554e-92,biological,True,1
18th week post-fertilization stage,airway_top,16,H2AJ,2.7647039890289307,1.4040786182863914e-91,biological,True,2
18th week post-fertilization stage,airway_top,17,DYNLL1,2.1653075218200684,5.72108617726855e-85,biological,True,2
18th week post-fertilization stage,airway_top,18,UCP2,3.2327451705932617,1.6022920246528122e-84,biological,True,1
18th week post-fertilization stage,airway_top,19,HSBP1,1.584008812904358,9.091538015643025e-84,housekeeping,False,0
18th week post-fertilization stage,airway_top,20,SERPINF1,4.579216957092285,9.335032408166343e-84,biological,True,1
18th week post-fertilization stage,alveolar_top,1,CLIC3,1.9983018636703491,2.3835433568579104e-18,biological,True,4
18th week post-fertilization stage,alveolar_top,2,MYL9,1.7369914054870603,2.7194989635037498e-17,biological,True,4
18th week post-fertilization stage,alveolar_top,3,SMARCA5,1.4473527669906616,5.085302936843232e-13,biological,True,4
18th week post-fertilization stage,alveolar_top,4,SPARC,1.6000027656555176,5.612457740145031e-13,biological,True,3
18th week post-fertilization stage,alveolar_top,5,TMSB10,0.8701722025871277,2.833516743005123e-12,housekeeping,False,0
18th week post-fertilization stage,alveolar_top,6,S100A10,1.1908762454986572,4.2245441578830244e-12,biological,True,1
18th week post-fertilization stage,alveolar_top,7,CLDN18,2.2470505237579346,9.960647989149708e-12,biological,True,2
18th week post-fertilization stage,alveolar_top,8,BCAM,1.074964165687561,1.65878344464597e-11,biological,True,2
18th week post-fertilization stage,alveolar_top,9,EMP2,1.387188196182251,1.3373424946218872e-10,biological,True,1
18th week post-fertilization stage,alveolar_top,10,AGER,1.9322750568389893,1.0313825716082133e-08,biological,True,4
18th week post-fertilization stage,alveolar_top,11,CLDN6,1.3152508735656738,4.0875795372285465e-08,biological,True,1
18th week post-fertilization stage,alveolar_top,12,RPL34,0.4972498416900635,1.0744746256990845e-07,ribosomal,False,0
18th week post-fertilization stage,alveolar_top,13,RPL37,0.6029935479164124,2.625938754004821e-07,ribosomal,False,0
18th week post-fertilization stage,alveolar_top,14,CPM,0.9547393918037416,5.397915086942027e-07,biological,True,1
18th week post-fertilization stage,alveolar_top,15,NACA,0.5196582674980164,5.397915086942027e-07,housekeeping,False,0
18th week post-fertilization stage,alveolar_top,16,RPS18,0.5456407070159912,5.397915086942027e-07,ribosomal,False,0
18th week post-fertilization stage,alveolar_top,17,RPL24,0.553503692150116,6.005295197725136e-07,ribosomal,False,0
18th week post-fertilization stage,alveolar_top,18,MALAT1,0.6864641904830933,6.391052159930451e-07,housekeeping,False,0
18th week post-fertilization stage,alveolar_top,19,FOLR1,1.0482263565063477,1.1197897283950605e-06,biological,True,1
18th week post-fertilization stage,alveolar_top,20,MDK,0.9293577671051024,1.443383724529966e-06,biological,True,1
20th week post-fertilization stage,airway_top,1,AGR3,9.515114784240724,3.5325130104784494e-55,biological,True,4
20th week post-fertilization stage,airway_top,2,AGR2,6.245360851287842,2.6372555404244086e-54,biological,True,4
20th week post-fertilization stage,airway_top,3,CAPS,7.739163398742676,3.455323967831765e-52,biological,True,4
20th week post-fertilization stage,airway_top,4,IFT57,4.589203357696533,9.592057136851146e-52,biological,True,3
20th week post-fertilization stage,airway_top,5,CIMAP1B,9.653487205505373,1.4511312574677797e-50,biological,True,2
20th week post-fertilization stage,airway_top,6,RSPH1,10.726799011230469,2.3579660041088085e-50,biological,True,1
20th week post-fertilization stage,airway_top,7,ZMYND10,10.060239791870115,5.346606969209255e-50,biological,True,1
20th week post-fertilization stage,airway_top,8,TSPAN1,9.784150123596191,7.380836778270711e-50,biological,True,2
20th week post-fertilization stage,airway_top,9,CFAP157,32.918209075927734,7.954224309466642e-50,biological,True,1
20th week post-fertilization stage,airway_top,10,CFAP144,10.13938331604004,1.4276187188239442e-49,biological,True,2
20th week post-fertilization stage,airway_top,11,CIMIP1,8.465719223022461,1.4753497346987638e-49,biological,True,2
20th week post-fertilization stage,airway_top,12,HOATZ,9.834426879882812,1.5476479719320793e-49,biological,True,1
20th week post-fertilization stage,airway_top,13,CCDC170,32.47310256958008,1.9334747243180443e-49,biological,True,1
20th week post-fertilization stage,airway_top,14,SMIM22,5.899733543395996,1.9334747243180443e-49,biological,True,2
20th week post-fertilization stage,airway_top,15,DYNLL1,3.332686424255371,2.111118767265802e-49,biological,True,2
20th week post-fertilization stage,airway_top,16,SPACA9,6.23539400100708,2.111118767265802e-49,biological,True,2
20th week post-fertilization stage,airway_top,17,CFAP276,8.761210441589355,2.111118767265802e-49,biological,True,2
