stage,n_total_epithelial,n_annotated_airway,n_annotated_alveolar,n_candidate_pool_total,n_candidate_bipotent_relaxed,n_transitioning_airway_relaxed,n_transitioning_alveolar_relaxed,n_undefined_relaxed,n_candidate_bipotent_moderate,n_transitioning_airway_moderate,n_transitioning_alveolar_moderate,n_undefined_moderate,n_candidate_bipotent_stringent,n_transitioning_airway_stringent,n_transitioning_alveolar_stringent,n_undefined_stringent,frac_annotated_airway,frac_annotated_alveolar,frac_candidate_pool_total,frac_candidate_bipotent_relaxed,frac_transitioning_airway_relaxed,frac_transitioning_alveolar_relaxed,frac_undefined_relaxed,frac_candidate_bipotent_moderate,frac_transitioning_airway_moderate,frac_transitioning_alveolar_moderate,frac_undefined_moderate,frac_candidate_bipotent_stringent,frac_transitioning_airway_stringent,frac_transitioning_alveolar_stringent,frac_undefined_stringent
9th week post-fertilization stage,1799,421,0,1378,630,186,419,143,393,236,544,205,93,240,508,537,0.2340188993885492,0.0,0.7659811006114509,0.35019455252918286,0.10339077265147303,0.23290717065036132,0.07948860478043357,0.21845469705391884,0.1311839911061701,0.3023902167871039,0.11395219566425792,0.05169538632573652,0.13340744858254586,0.28237909949972206,0.29849916620344635
11th week post-fertilization stage,2043,634,0,1409,664,134,484,127,499,170,575,165,128,184,654,443,0.3103279490944689,0.0,0.6896720509055311,0.32501223690651004,0.06558981889378365,0.23690651003426333,0.06216348507097406,0.2442486539402839,0.08321096426823299,0.28144884973078804,0.08076358296622614,0.06265296133137543,0.09006363191385218,0.3201174743024963,0.21683798335780716
15th week post-fertilization stage,1921,427,76,1418,501,89,684,144,335,94,793,196,42,73,729,574,0.22228006246746487,0.03956272774596564,0.7381572097865695,0.260801665799063,0.0463300364393545,0.3560645497136908,0.07496095783446122,0.1743883394065591,0.048932847475273294,0.41280583029672047,0.10203019260801666,0.021863612701717855,0.03800104112441437,0.3794898490369599,0.2988027069234774
18th week post-fertilization stage,1812,473,85,1254,133,71,698,352,86,69,689,410,13,24,448,769,0.261037527593819,0.04690949227373068,0.6920529801324503,0.07339955849889625,0.039183222958057394,0.3852097130242826,0.19426048565121412,0.04746136865342163,0.0380794701986755,0.380242825607064,0.22626931567328917,0.00717439293598234,0.013245033112582781,0.24724061810154527,0.42439293598233996
20th week post-fertilization stage,856,750,36,70,7,1,43,19,2,1,44,23,0,2,19,49,0.8761682242990654,0.04205607476635514,0.08177570093457943,0.008177570093457943,0.0011682242990654205,0.05023364485981308,0.02219626168224299,0.002336448598130841,0.0011682242990654205,0.0514018691588785,0.026869158878504672,0.0,0.002336448598130841,0.02219626168224299,0.05724299065420561
22nd week post-fertilization stage,1086,552,468,66,1,4,21,40,1,4,16,45,1,2,9,54,0.5082872928176796,0.430939226519337,0.06077348066298342,0.0009208103130755065,0.003683241252302026,0.019337016574585635,0.03683241252302026,0.0009208103130755065,0.003683241252302026,0.014732965009208104,0.04143646408839779,0.0009208103130755065,0.001841620626151013,0.008287292817679558,0.049723756906077346
