substrate,view,stage,n_cells,bimodality_coefficient,gap_zone_fraction,co_commitment_fraction,median_distal_tip_score,median_airway_score,median_alveolar_score
cao2020,all_epithelial,15th week post-fertilization stage,8171,0.3162291296614975,0.7109288948721086,0.13523436543874678,-0.13182412361612125,-0.11222963968912761,0.32779573683344987
cao2020,exiting_tip,15th week post-fertilization stage,3950,0.30868987729505415,0.9625316455696202,0.13493670886075948,-0.33254317848049864,-0.09566315015157065,0.2286062749153977
cao2020,all_epithelial,16th week post-fertilization stage,3495,0.3675695154724555,0.6466380543633763,0.3213161659513591,-0.13594149570075834,-0.0866274897257487,0.7996840411369954
cao2020,exiting_tip,16th week post-fertilization stage,1688,0.35327194815392476,0.9146919431279621,0.3353080568720379,-0.30890871554004906,-0.0704015604654948,0.6880450401831111
cao2020,all_epithelial,17th week post-fertilization stage,10460,0.3797966794036791,0.624282982791587,0.3338432122370937,-0.15210196436667928,-0.10086225509643555,1.0280989162418819
cao2020,exiting_tip,17th week post-fertilization stage,5479,0.36583008112351545,0.8388392042343493,0.3400255521080489,-0.31961620097257654,-0.09421029408772787,0.8667675737940936
