stage,direction,rank,gene,log_fold_change,adjusted_p_value,gene_class,interpretable,recurrence_n_stages
13th week post-fertilization stage,airway_top,15,PDE4D,1.4959077835083008,1.0,biological,True,1
13th week post-fertilization stage,airway_top,16,PTP4A2,3.4025282859802246,1.0,biological,True,1
13th week post-fertilization stage,airway_top,17,GSTP1,1.688657283782959,1.0,biological,True,2
13th week post-fertilization stage,airway_top,18,NTN1,2.2215769290924072,1.0,biological,True,5
13th week post-fertilization stage,airway_top,19,RPS2,1.4935529232025146,1.0,ribosomal,False,0
13th week post-fertilization stage,airway_top,20,MAGI3,1.6071851253509521,1.0,biological,True,2
13th week post-fertilization stage,alveolar_top,1,SOX9,10.080772399902344,1.0665128834399569e-50,biological,True,5
13th week post-fertilization stage,alveolar_top,2,SFTPC,2.3925981521606445,0.001540195004851491,biological,True,5
13th week post-fertilization stage,alveolar_top,3,ETV5,1.9597117900848389,0.034905277891588045,biological,True,5
13th week post-fertilization stage,alveolar_top,4,PTPN13,1.7511541843414307,0.13079265671253143,biological,True,4
13th week post-fertilization stage,alveolar_top,5,WIF1,1.8874484300613403,0.13079265671253143,biological,True,3
13th week post-fertilization stage,alveolar_top,6,TPPP3,2.3004231452941895,0.1908308115360829,biological,True,4
13th week post-fertilization stage,alveolar_top,7,RPL30,1.4468897581100464,0.5468672714131279,ribosomal,False,0
13th week post-fertilization stage,alveolar_top,8,SEL1L3,1.6782867908477783,0.5545181765495718,biological,True,5
13th week post-fertilization stage,alveolar_top,9,TMSB10,1.3865716457366943,1.0,housekeeping,False,0
13th week post-fertilization stage,alveolar_top,10,CALR,1.3716607093811035,1.0,biological,True,1
13th week post-fertilization stage,alveolar_top,11,PIK3C2G,1.5606400966644287,1.0,biological,True,4
13th week post-fertilization stage,alveolar_top,12,HAS3,2.3573672771453857,1.0,biological,True,1
13th week post-fertilization stage,alveolar_top,13,CD63,1.5253643989562988,1.0,biological,True,1
13th week post-fertilization stage,alveolar_top,14,SPARC,1.3656197786331177,1.0,biological,True,1
13th week post-fertilization stage,alveolar_top,15,FCGRT,2.274691104888916,1.0,biological,True,1
13th week post-fertilization stage,alveolar_top,16,ATP11A,1.2880433797836304,1.0,biological,True,5
13th week post-fertilization stage,alveolar_top,17,DLC1,1.5315853357315063,1.0,biological,True,1
13th week post-fertilization stage,alveolar_top,18,CLU,1.5149294137954712,1.0,biological,True,1
13th week post-fertilization stage,alveolar_top,19,GAPDH,1.2822569608688354,1.0,housekeeping,False,0
13th week post-fertilization stage,alveolar_top,20,SLC34A2,1.6472469568252563,1.0,biological,True,5
15th week post-fertilization stage,airway_top,1,SOX2,9.847172737121582,5.057814013017896e-141,biological,True,5
15th week post-fertilization stage,airway_top,2,SCGB3A2,3.640617847442627,5.658314570254059e-21,biological,True,5
15th week post-fertilization stage,airway_top,3,DMD,1.9334733486175537,4.306915005682396e-10,biological,True,4
15th week post-fertilization stage,airway_top,4,GPC5,1.6097164154052734,4.390278260332548e-08,biological,True,4
15th week post-fertilization stage,airway_top,5,ALCAM,1.4609960317611694,2.9138669149506977e-07,biological,True,5
15th week post-fertilization stage,airway_top,6,RBMS3,1.4185292720794678,0.00031806825723175995,biological,True,2
15th week post-fertilization stage,airway_top,7,GNAS,1.2156109809875488,0.0006593761312862354,housekeeping,False,0
15th week post-fertilization stage,airway_top,8,CLIC6,1.6990482807159424,0.0026113975365371464,biological,True,4
15th week post-fertilization stage,airway_top,9,NEDD4L,1.1436946392059326,0.0038997998220466515,biological,True,2
15th week post-fertilization stage,airway_top,10,NCKAP5,2.3119053840637207,0.005592007451530891,biological,True,2
