cell_id,development_stage,cell_type,donor_id,assay,distal_tip_score,airway_score,alveolar_score,commitment_score,substrate,in_exiting_tip
39028,18th week post-fertilization stage,epithelial cell of lung,HDBR14808,10x 5' v1,0.496212019920349,-0.3587079590559006,1.060868396759033,-1.4195763558149337,he2022,False
39029,18th week post-fertilization stage,club cell,HDBR14808,10x 5' v1,-0.5896498870849609,1.7002939224243163,0.6586729574203491,1.0416209650039672,he2022,True
39030,18th week post-fertilization stage,club cell,HDBR14808,10x 5' v1,-0.7460738724470138,1.814490671157837,-0.5755589759349823,2.390049647092819,he2022,True
39031,18th week post-fertilization stage,club cell,HDBR14808,10x 5' v1,-0.6298387527465821,1.7357362079620362,0.6623839855194091,1.073352222442627,he2022,True
39032,18th week post-fertilization stage,club cell,HDBR14808,10x 5' v1,-0.6672490692138672,1.9595478630065917,0.6597255611419678,1.2998223018646238,he2022,True
39033,18th week post-fertilization stage,club cell,HDBR14808,10x 5' v1,-0.7372993469238281,1.7439739799499512,0.572407579421997,1.1715664005279542,he2022,True
39034,18th week post-fertilization stage,club cell,HDBR14808,10x 5' v1,-0.7270022583007812,1.9434537696838379,0.3567178297042847,1.5867359399795533,he2022,True
39035,18th week post-fertilization stage,epithelial cell of lung,HDBR14808,10x 5' v1,0.7072691249847413,-0.20398646950721738,1.826000623703003,-2.0299870932102206,he2022,False
39036,18th week post-fertilization stage,respiratory tract epithelial cell,HDBR14808,10x 5' v1,-0.7886831706762314,1.8645870780944824,-0.20752401113510133,2.0721110892295838,he2022,True
39037,18th week post-fertilization stage,epithelial cell of lung,HDBR14808,10x 5' v1,0.7848325109481812,-0.3895414352416992,1.3807689285278322,-1.7703103637695314,he2022,False
39038,18th week post-fertilization stage,club cell,HDBR14808,10x 5' v1,-0.3293647003173828,0.43052182435989383,0.7983303833007813,-0.3678085589408875,he2022,True
39039,18th week post-fertilization stage,club cell,HDBR14808,10x 5' v1,-0.7044723778963089,1.6778911685943603,0.3832278251647949,1.2946633434295653,he2022,True
39040,18th week post-fertilization stage,epithelial cell of lung,HDBR14808,10x 5' v1,0.9022445106506347,-0.38394157409667967,1.0502476119995117,-1.4341891860961913,he2022,False
39041,18th week post-fertilization stage,respiratory tract epithelial cell,HDBR14808,10x 5' v1,-0.5779964828491211,0.3935882782936096,0.4420964813232422,-0.0485082030296326,he2022,True
39042,22nd week post-fertilization stage,club cell,HDBR14804,10x 5' v1,-0.8667153930664062,1.6275768899917602,0.2968663358688355,1.3307105541229247,he2022,True
39043,22nd week post-fertilization stage,respiratory tract epithelial cell,HDBR14804,10x 5' v1,-0.49261570692062373,1.8424416637420653,0.7790108251571656,1.0634308385848996,he2022,True
39044,22nd week post-fertilization stage,club cell,HDBR14804,10x 5' v1,-0.6902840423583985,1.3320966243743897,0.015958280563354466,1.3161383438110352,he2022,True
39045,22nd week post-fertilization stage,respiratory tract epithelial cell,HDBR14804,10x 5' v1,-0.5716576242446899,1.4615067195892335,0.2044515943527222,1.2570551252365112,he2022,True
39046,22nd week post-fertilization stage,respiratory tract epithelial cell,HDBR14804,10x 5' v1,-0.6029473805427551,1.5377694034576417,0.4322547054290772,1.1055146980285646,he2022,True
39047,22nd week post-fertilization stage,club cell,HDBR14804,10x 5' v1,-0.505019702911377,1.5839103603363038,0.07054784059524533,1.5133625197410585,he2022,True
39048,22nd week post-fertilization stage,squamous epithelial cell,HDBR14804,10x 5' v1,-0.27036103010177615,-0.2677994245290756,-0.9538406372070313,0.6860412126779556,he2022,True
