substrate,view,stage,airway_bin,alveolar_bin,n_cells,fraction_of_view
cao2020,all_epithelial,16th week post-fertilization stage,2,3,143,0.040915593705293275
cao2020,all_epithelial,16th week post-fertilization stage,2,4,179,0.05121602288984263
cao2020,all_epithelial,16th week post-fertilization stage,3,0,157,0.04492131616595136
cao2020,all_epithelial,16th week post-fertilization stage,3,1,151,0.04320457796852647
cao2020,all_epithelial,16th week post-fertilization stage,3,2,201,0.05751072961373391
cao2020,all_epithelial,16th week post-fertilization stage,3,3,156,0.04463519313304721
cao2020,all_epithelial,16th week post-fertilization stage,3,4,181,0.05178826895565093
cao2020,all_epithelial,16th week post-fertilization stage,4,0,64,0.018311874105865523
cao2020,all_epithelial,16th week post-fertilization stage,4,1,188,0.053791130185979974
cao2020,all_epithelial,16th week post-fertilization stage,4,2,203,0.0580829756795422
cao2020,all_epithelial,16th week post-fertilization stage,4,3,236,0.06752503576537912
cao2020,all_epithelial,16th week post-fertilization stage,4,4,115,0.032904148783977114
cao2020,exiting_tip,16th week post-fertilization stage,0,0,21,0.012440758293838863
cao2020,exiting_tip,16th week post-fertilization stage,0,1,26,0.015402843601895734
cao2020,exiting_tip,16th week post-fertilization stage,0,2,29,0.017180094786729858
cao2020,exiting_tip,16th week post-fertilization stage,0,3,42,0.024881516587677725
cao2020,exiting_tip,16th week post-fertilization stage,0,4,32,0.018957345971563982
cao2020,exiting_tip,16th week post-fertilization stage,1,0,48,0.02843601895734597
cao2020,exiting_tip,16th week post-fertilization stage,1,1,43,0.0254739336492891
cao2020,exiting_tip,16th week post-fertilization stage,1,2,60,0.035545023696682464
cao2020,exiting_tip,16th week post-fertilization stage,1,3,61,0.03613744075829384
cao2020,exiting_tip,16th week post-fertilization stage,1,4,39,0.0231042654028436
cao2020,exiting_tip,16th week post-fertilization stage,2,0,67,0.039691943127962086
cao2020,exiting_tip,16th week post-fertilization stage,2,1,54,0.031990521327014215
cao2020,exiting_tip,16th week post-fertilization stage,2,2,91,0.05390995260663507
cao2020,exiting_tip,16th week post-fertilization stage,2,3,57,0.03376777251184834
cao2020,exiting_tip,16th week post-fertilization stage,2,4,59,0.03495260663507109
cao2020,exiting_tip,16th week post-fertilization stage,3,0,87,0.05154028436018957
cao2020,exiting_tip,16th week post-fertilization stage,3,1,86,0.0509478672985782
cao2020,exiting_tip,16th week post-fertilization stage,3,2,102,0.06042654028436019
cao2020,exiting_tip,16th week post-fertilization stage,3,3,72,0.04265402843601896
cao2020,exiting_tip,16th week post-fertilization stage,3,4,77,0.04561611374407583
cao2020,exiting_tip,16th week post-fertilization stage,4,0,50,0.02962085308056872
cao2020,exiting_tip,16th week post-fertilization stage,4,1,137,0.0811611374407583
cao2020,exiting_tip,16th week post-fertilization stage,4,2,158,0.09360189573459715
cao2020,exiting_tip,16th week post-fertilization stage,4,3,155,0.09182464454976304
cao2020,exiting_tip,16th week post-fertilization stage,4,4,35,0.020734597156398103
cao2020,all_epithelial,17th week post-fertilization stage,0,0,108,0.010325047801147227
cao2020,all_epithelial,17th week post-fertilization stage,0,1,222,0.021223709369024856
cao2020,all_epithelial,17th week post-fertilization stage,0,2,269,0.025717017208413
cao2020,all_epithelial,17th week post-fertilization stage,0,3,579,0.05535372848948375
cao2020,all_epithelial,17th week post-fertilization stage,0,4,815,0.07791586998087954
cao2020,all_epithelial,17th week post-fertilization stage,1,0,160,0.015296367112810707
cao2020,all_epithelial,17th week post-fertilization stage,1,1,258,0.024665391969407265
cao2020,all_epithelial,17th week post-fertilization stage,1,2,410,0.03919694072657744
cao2020,all_epithelial,17th week post-fertilization stage,1,3,494,0.04722753346080306
cao2020,all_epithelial,17th week post-fertilization stage,1,4,732,0.06998087954110899
cao2020,all_epithelial,17th week post-fertilization stage,2,0,256,0.024474187380497132
cao2020,all_epithelial,17th week post-fertilization stage,2,1,260,0.0248565965583174
cao2020,all_epithelial,17th week post-fertilization stage,2,2,481,0.04598470363288719
cao2020,all_epithelial,17th week post-fertilization stage,2,3,493,0.04713193116634799
cao2020,all_epithelial,17th week post-fertilization stage,2,4,699,0.06682600382409178
cao2020,all_epithelial,17th week post-fertilization stage,3,0,285,0.027246653919694074
cao2020,all_epithelial,17th week post-fertilization stage,3,1,273,0.02609942638623327
cao2020,all_epithelial,17th week post-fertilization stage,3,2,523,0.05
cao2020,all_epithelial,17th week post-fertilization stage,3,3,503,0.04808795411089866
cao2020,all_epithelial,17th week post-fertilization stage,3,4,802,0.07667304015296367
cao2020,all_epithelial,17th week post-fertilization stage,4,0,154,0.014722753346080307
cao2020,all_epithelial,17th week post-fertilization stage,4,1,360,0.03441682600382409
cao2020,all_epithelial,17th week post-fertilization stage,4,2,441,0.04216061185468451
cao2020,all_epithelial,17th week post-fertilization stage,4,3,508,0.048565965583174
cao2020,all_epithelial,17th week post-fertilization stage,4,4,375,0.035850860420650096
cao2020,exiting_tip,17th week post-fertilization stage,0,0,68,0.012411023909472532
cao2020,exiting_tip,17th week post-fertilization stage,0,1,121,0.022084321956561417
cao2020,exiting_tip,17th week post-fertilization stage,0,2,151,0.027559773681328708
cao2020,exiting_tip,17th week post-fertilization stage,0,3,262,0.047818945062967695
cao2020,exiting_tip,17th week post-fertilization stage,0,4,257,0.04690636977550648
cao2020,exiting_tip,17th week post-fertilization stage,1,0,87,0.01587881000182515
cao2020,exiting_tip,17th week post-fertilization stage,1,1,144,0.02628216827888301
cao2020,exiting_tip,17th week post-fertilization stage,1,2,245,0.04471618908559956
cao2020,exiting_tip,17th week post-fertilization stage,1,3,247,0.04508121920058405
cao2020,exiting_tip,17th week post-fertilization stage,1,4,314,0.05730972805256434
cao2020,exiting_tip,17th week post-fertilization stage,2,0,149,0.027194743566344222
cao2020,exiting_tip,17th week post-fertilization stage,2,1,150,0.027377258623836467
cao2020,exiting_tip,17th week post-fertilization stage,2,2,255,0.04654133966052199
cao2020,exiting_tip,17th week post-fertilization stage,2,3,253,0.04617630954553751
cao2020,exiting_tip,17th week post-fertilization stage,2,4,307,0.056032122650118636
cao2020,exiting_tip,17th week post-fertilization stage,3,0,172,0.03139258988866581
cao2020,exiting_tip,17th week post-fertilization stage,3,1,162,0.029567439313743383
cao2020,exiting_tip,17th week post-fertilization stage,3,2,282,0.051469246212812556
cao2020,exiting_tip,17th week post-fertilization stage,3,3,273,0.04982661069538237
cao2020,exiting_tip,17th week post-fertilization stage,3,4,383,0.0699032670195291
cao2020,exiting_tip,17th week post-fertilization stage,4,0,109,0.019894141266654498
cao2020,exiting_tip,17th week post-fertilization stage,4,1,264,0.04818397517795218
cao2020,exiting_tip,17th week post-fertilization stage,4,2,353,0.06442781529476181
cao2020,exiting_tip,17th week post-fertilization stage,4,3,326,0.059499908742471255
cao2020,exiting_tip,17th week post-fertilization stage,4,4,145,0.02646468333637525
